Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
2	100	C:\Hannah's FYP\White4_neu.jpg	love	2	forehead	2		212	1835	2	0
2	101	C:\Hannah's FYP\White15_neu.jpg	romance	2	forehead	2		212	543	2	0
2	102	C:\Hannah's FYP\Black13_neu.jpg	poison	1	forehead	1		111	546	1	0
2	103	C:\Hannah's FYP\White3_neu.jpg	romance	2	forehead	2		212	733	2	0
2	104	C:\Hannah's FYP\White14_neu.jpg	garbage	2	forehead	1		211	653	1	0
2	105	C:\Hannah's FYP\Black22_neu.jpg	pest	1	forehead	1		111	2152	1	0
2	106	C:\Hannah's FYP\White2_neu.jpg	sewage	2	forehead	1		211	534	1	0
2	107	C:\Hannah's FYP\White7_neu.jpg	joy	2	forehead	2		212	754	2	0
2	108	C:\Hannah's FYP\Black24_neu.jpg	despair	1	forehead	1		111	633	1	0
2	109	C:\Hannah's FYP\Black1_neu.jpg	romance	1	forehead	2		112	824	2	0
2	110	C:\Hannah's FYP\White14_neu.jpg	cockroach	2	forehead	1		211	700	1	0
2	111	C:\Hannah's FYP\White10_neu.jpg	poison	2	forehead	1		211	744	1	0
2	112	C:\Hannah's FYP\White19_neu.jpg	poison	2	forehead	1		211	728	1	0
2	113	C:\Hannah's FYP\Black8_neu.jpg	cockroach	1	forehead	1		111	745	1	0
2	114	C:\Hannah's FYP\Black23_neu.jpg	beauty	1	forehead	2		112	593	2	0
2	115	C:\Hannah's FYP\Black19_neu.jpg	sewage	1	forehead	1		111	642	1	0
2	116	C:\Hannah's FYP\Black4_neu.jpg	vacation	1	forehead	2		112	873	2	0
2	117	C:\Hannah's FYP\Black19_neu.jpg	beauty	1	forehead	2		112	510	2	0
2	118	C:\Hannah's FYP\Black7_neu.jpg	sewage	1	forehead	1		111	2232	1	0
2	119	C:\Hannah's FYP\White8_neu.jpg	smile	2	forehead	2		212	554	2	0
2	120	C:\Hannah's FYP\White19_neu.jpg	smile	2	forehead	2		212	562	2	0
2	121	C:\Hannah's FYP\Black16_neu.jpg	smile	1	forehead	2		112	644	2	0
2	122	C:\Hannah's FYP\Black20_neu.jpg	disgust	1	forehead	1		111	559	1	0
2	123	C:\Hannah's FYP\White11_neu.jpg	sewage	2	forehead	1		211	633	1	0
2	124	C:\Hannah's FYP\White1_neu.jpg	vacation	2	forehead	2		212	601	2	0
2	125	C:\Hannah's FYP\White2_neu.jpg	joy	2	forehead	2		212	609	2	0
2	126	C:\Hannah's FYP\Black5_neu.jpg	poison	1	forehead	1		111	466	1	0
