"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"ID"	"race"	"fixation"
2	100	"C:\Hannah's FYP\White4_neu.jpg"	"love"	2	"forehead"	2	NA	212	1835	2	0	1	"White"	"forehead"
2	101	"C:\Hannah's FYP\White15_neu.jpg"	"romance"	2	"forehead"	2	NA	212	543	2	0	1	"White"	"eyes"
2	102	"C:\Hannah's FYP\Black13_neu.jpg"	"poison"	1	"forehead"	1	NA	111	546	1	0	1	"Black"	"eyes"
2	103	"C:\Hannah's FYP\White3_neu.jpg"	"romance"	2	"forehead"	2	NA	212	733	2	0	1	"White"	"forehead"
2	104	"C:\Hannah's FYP\White14_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	653	1	0	1	"White"	"eyes"
2	105	"C:\Hannah's FYP\Black22_neu.jpg"	"pest"	1	"forehead"	1	NA	111	2152	1	0	1	"Black"	"nose"
2	106	"C:\Hannah's FYP\White2_neu.jpg"	"sewage"	2	"forehead"	1	NA	211	534	1	0	1	"White"	"forehead"
2	107	"C:\Hannah's FYP\White7_neu.jpg"	"joy"	2	"forehead"	2	NA	212	754	2	0	1	"White"	"forehead"
2	108	"C:\Hannah's FYP\Black24_neu.jpg"	"despair"	1	"forehead"	1	NA	111	633	1	0	1	"Black"	"nose"
2	109	"C:\Hannah's FYP\Black1_neu.jpg"	"romance"	1	"forehead"	2	NA	112	824	2	0	1	"Black"	"forehead"
2	110	"C:\Hannah's FYP\White14_neu.jpg"	"cockroach"	2	"forehead"	1	NA	211	700	1	0	1	"White"	"eyes"
2	111	"C:\Hannah's FYP\White10_neu.jpg"	"poison"	2	"forehead"	1	NA	211	744	1	0	1	"White"	"eyes"
2	112	"C:\Hannah's FYP\White19_neu.jpg"	"poison"	2	"forehead"	1	NA	211	728	1	0	1	"White"	"nose"
2	113	"C:\Hannah's FYP\Black8_neu.jpg"	"cockroach"	1	"forehead"	1	NA	111	745	1	0	1	"Black"	"forehead"
2	114	"C:\Hannah's FYP\Black23_neu.jpg"	"beauty"	1	"forehead"	2	NA	112	593	2	0	1	"Black"	"nose"
2	115	"C:\Hannah's FYP\Black19_neu.jpg"	"sewage"	1	"forehead"	1	NA	111	642	1	0	1	"Black"	"nose"
2	116	"C:\Hannah's FYP\Black4_neu.jpg"	"vacation"	1	"forehead"	2	NA	112	873	2	0	1	"Black"	"forehead"
2	117	"C:\Hannah's FYP\Black19_neu.jpg"	"beauty"	1	"forehead"	2	NA	112	510	2	0	1	"Black"	"nose"
2	118	"C:\Hannah's FYP\Black7_neu.jpg"	"sewage"	1	"forehead"	1	NA	111	2232	1	0	1	"Black"	"forehead"
2	119	"C:\Hannah's FYP\White8_neu.jpg"	"smile"	2	"forehead"	2	NA	212	554	2	0	1	"White"	"forehead"
2	120	"C:\Hannah's FYP\White19_neu.jpg"	"smile"	2	"forehead"	2	NA	212	562	2	0	1	"White"	"nose"
2	121	"C:\Hannah's FYP\Black16_neu.jpg"	"smile"	1	"forehead"	2	NA	112	644	2	0	1	"Black"	"eyes"
2	122	"C:\Hannah's FYP\Black20_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	559	1	0	1	"Black"	"nose"
2	123	"C:\Hannah's FYP\White11_neu.jpg"	"sewage"	2	"forehead"	1	NA	211	633	1	0	1	"White"	"eyes"
2	124	"C:\Hannah's FYP\White1_neu.jpg"	"vacation"	2	"forehead"	2	NA	212	601	2	0	1	"White"	"forehead"
2	125	"C:\Hannah's FYP\White2_neu.jpg"	"joy"	2	"forehead"	2	NA	212	609	2	0	1	"White"	"forehead"
2	126	"C:\Hannah's FYP\Black5_neu.jpg"	"poison"	1	"forehead"	1	NA	111	466	1	0	1	"Black"	"forehead"
2	127	"C:\Hannah's FYP\White14_neu.jpg"	"joy"	2	"forehead"	2	NA	212	821	2	0	1	"White"	"eyes"
2	128	"C:\Hannah's FYP\Black4_neu.jpg"	"poison"	1	"forehead"	1	NA	111	612	1	0	1	"Black"	"forehead"
2	129	"C:\Hannah's FYP\White11_neu.jpg"	"joy"	2	"forehead"	2	NA	212	796	2	0	1	"White"	"eyes"
2	130	"C:\Hannah's FYP\White20_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	673	1	0	1	"White"	"nose"
2	131	"C:\Hannah's FYP\Black6_neu.jpg"	"success"	1	"forehead"	2	NA	112	2543	2	0	1	"Black"	"forehead"
2	132	"C:\Hannah's FYP\White3_neu.jpg"	"despair"	2	"forehead"	1	NA	211	564	1	0	1	"White"	"forehead"
2	133	"C:\Hannah's FYP\Black15_neu.jpg"	"love"	1	"forehead"	2	NA	112	462	2	0	1	"Black"	"eyes"
2	134	"C:\Hannah's FYP\White15_neu.jpg"	"beauty"	2	"forehead"	2	NA	212	581	2	0	1	"White"	"eyes"
2	135	"C:\Hannah's FYP\Black16_neu.jpg"	"success"	1	"forehead"	2	NA	112	2127	2	0	1	"Black"	"eyes"
2	136	"C:\Hannah's FYP\Black5_neu.jpg"	"pest"	1	"forehead"	1	NA	111	646	1	0	1	"Black"	"forehead"
2	137	"C:\Hannah's FYP\White14_neu.jpg"	"love"	2	"forehead"	2	NA	212	585	2	0	1	"White"	"eyes"
2	138	"C:\Hannah's FYP\Black9_neu.jpg"	"despair"	1	"forehead"	1	NA	111	562	1	0	1	"Black"	"eyes"
2	139	"C:\Hannah's FYP\White10_neu.jpg"	"vacation"	2	"forehead"	2	NA	212	605	2	0	1	"White"	"eyes"
2	140	"C:\Hannah's FYP\White24_neu.jpg"	"love"	2	"forehead"	2	NA	212	2885	2	0	1	"White"	"nose"
2	141	"C:\Hannah's FYP\White5_neu.jpg"	"cockroach"	2	"forehead"	1	NA	211	732	1	0	1	"White"	"forehead"
2	142	"C:\Hannah's FYP\White17_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	519	1	0	1	"White"	"nose"
2	143	"C:\Hannah's FYP\White20_neu.jpg"	"cockroach"	2	"forehead"	1	NA	211	592	1	0	1	"White"	"nose"
2	144	"C:\Hannah's FYP\Black2_neu.jpg"	"success"	1	"forehead"	2	NA	112	521	2	0	1	"Black"	"forehead"
2	145	"C:\Hannah's FYP\Black5_neu.jpg"	"love"	1	"forehead"	2	NA	112	933	1	1	1	"Black"	"forehead"
2	146	"C:\Hannah's FYP\Black21_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	1684	1	0	1	"Black"	"nose"
2	147	"C:\Hannah's FYP\White22_neu.jpg"	"romance"	2	"forehead"	2	NA	212	503	2	0	1	"White"	"nose"
2	148	"C:\Hannah's FYP\White19_neu.jpg"	"despair"	2	"forehead"	1	NA	211	896	1	0	1	"White"	"nose"
2	149	"C:\Hannah's FYP\Black14_neu.jpg"	"beauty"	1	"forehead"	2	NA	112	1180	2	0	1	"Black"	"eyes"
2	150	"C:\Hannah's FYP\Black20_neu.jpg"	"vacation"	1	"forehead"	2	NA	112	536	2	0	1	"Black"	"nose"
2	151	"C:\Hannah's FYP\White17_neu.jpg"	"success"	2	"forehead"	2	NA	212	611	2	0	1	"White"	"nose"
2	152	"C:\Hannah's FYP\White23_neu.jpg"	"poison"	2	"forehead"	1	NA	211	592	1	0	1	"White"	"nose"
2	153	"C:\Hannah's FYP\Black8_neu.jpg"	"beauty"	1	"forehead"	2	NA	112	607	2	0	1	"Black"	"forehead"
